Player Name,Player Position x,y,z, Player Plumage ,Status,Accumulated Player Engagement,Accumulated PlayerHit Number,Accumulated PlayerHitReceived Number,Accumulated Player Standing Still Time,Time: 11/4/2024 4:13:33 PM
Player Blue,(-39.46,0.7, 24.66),10,I_HIT_SOMEONE,40,16,5,3.273878,
Player Green,(-42.18,0.67, 20.52),0,I_GOT_HIT,36,4,11,15.66533,
Player Yellow,(25.67,0.71, 32.23),0,ENGAGE_IN_COMBAT,27,3,6,3.641275,
Player Red,(-56.40,0.71, 8.13),2,ENGAGE_IN_COMBAT,37,6,7,7.28533,
Player Blue,(-39.46,0.7, 24.66),10,I_HIT_SOMEONE,40,17,5,3.273878,
Player Green,(-42.18,0.67, 20.52),0,I_GOT_HIT,36,4,12,15.66533,
Player Yellow,(25.67,0.71, 32.23),0,ENGAGE_IN_COMBAT,27,3,6,3.641275,
Player Red,(-56.40,0.71, 8.13),2,ENGAGE_IN_COMBAT,37,6,7,7.28533,
Player Blue,(-39.46,0.7, 24.66),10,I_HIT_SOMEONE,40,18,5,3.273878,
Player Green,(-42.18,0.67, 20.52),0,I_GOT_HIT,36,4,13,15.66533,
Player Yellow,(25.67,0.71, 32.23),0,ENGAGE_IN_COMBAT,27,3,6,3.641275,
Player Red,(-56.40,0.71, 8.13),2,ENGAGE_IN_COMBAT,37,6,7,7.28533,
Player Blue,(-39.46,0.7, 24.66),10,I_HIT_SOMEONE,40,19,5,3.273878,
Player Green,(-42.18,0.67, 20.52),0,I_GOT_HIT,36,4,14,15.66533,
Player Yellow,(25.67,0.71, 32.23),0,ENGAGE_IN_COMBAT,27,3,6,3.641275,
Player Red,(-56.40,0.71, 8.13),2,ENGAGE_IN_COMBAT,37,6,7,7.28533,
Player Blue,(-39.46,0.7, 24.66),10,I_HIT_SOMEONE,40,20,5,3.273878,
Player Green,(-42.18,0.67, 20.52),0,I_GOT_HIT,36,4,15,15.66533,
Player Yellow,(25.67,0.71, 32.23),0,ENGAGE_IN_COMBAT,27,3,6,3.641275,
Player Red,(-56.40,0.71, 8.13),2,ENGAGE_IN_COMBAT,37,6,7,7.28533,
Player Blue,(-39.46,0.7, 24.66),10,I_HIT_SOMEONE,40,21,5,3.273878,
Player Green,(-42.18,0.67, 20.52),0,I_GOT_HIT,36,4,16,15.66533,
Player Yellow,(25.67,0.71, 32.23),0,ENGAGE_IN_COMBAT,27,3,6,3.641275,
Player Red,(-56.40,0.71, 8.13),2,ENGAGE_IN_COMBAT,37,6,7,7.28533,
Player Blue,(-39.46,0.7, 24.66),10,I_HIT_SOMEONE,40,22,5,3.273878,
Player Green,(-42.18,0.67, 20.52),0,I_GOT_HIT,36,4,17,15.66533,
Player Yellow,(25.67,0.71, 32.23),0,ENGAGE_IN_COMBAT,27,3,6,3.641275,
Player Name,Player Position x,y,z, Player Plumage ,Status,Accumulated Player Engagement,Accumulated PlayerHit Number,Accumulated PlayerHitReceived Number,Accumulated Player Standing Still Time,Time: 11/4/2024 5:20:34 PM
Player Red,(3.37,-1.23, 36.69),4,I_HIT_SOMEONE,2,1,0,2.216695,
Player Blue,(-46.03,-1.18, -16.97),3,ENGAGE_IN_COMBAT,0,0,0,2.792863,
Player Green,(0.14,-1.23, 35.48),2,I_GOT_HIT,2,0,1,4.867283,
Player Yellow,(13.52,-1.22, 43.70),3,ENGAGE_IN_COMBAT,2,0,0,0.5094649,
Player Red,(-6.77,-1.22, 1.87),4,ENGAGE_IN_COMBAT,3,1,0,2.216695,
Player Blue,(-2.04,-1.2, 33.21),4,I_HIT_SOMEONE,2,1,0,2.792863,
Player Green,(2.65,-1.21, 36.07),1,I_GOT_HIT,3,0,2,6.605925,
Player Yellow,(39.30,-1.18, 8.04),3,ENGAGE_IN_COMBAT,2,0,0,0.5094649,
Player Red,(-1.47,-1.23, -17.38),4,I_GOT_HIT,3,2,1,2.216695,
Player Blue,(15.23,-1.23, 40.98),4,ENGAGE_IN_COMBAT,2,1,0,2.792863,
Player Green,(7.31,-1.23, 32.54),1,ENGAGE_IN_COMBAT,3,0,2,6.605925,
Player Yellow,(18.47,-1.23, -1.86),3,ENGAGE_IN_COMBAT,2,0,0,0.5094649,
Player Red,(-22.58,-1.21, 2.68),4,ENGAGE_IN_COMBAT,3,2,1,2.216695,
Player Blue,(-44.40,-1.23, -23.32),4,ENGAGE_IN_COMBAT,2,1,0,2.792863,
Player Green,(14.69,-1.23, -9.55),0,I_GOT_HIT,4,0,3,7.224844,
Player Yellow,(12.63,-1.23, -5.05),4,I_HIT_SOMEONE,3,1,0,0.5094649,
Player Red,(-3.74,-1.19, -29.23),4,ENGAGE_IN_COMBAT,4,2,1,2.216695,
Player Blue,(8.34,-1.19, -22.57),4,I_HIT_SOMEONE,4,2,0,2.792863,
Player Green,(7.86,-1.23, -17.36),0,I_GOT_HIT,5,0,4,7.682911,
Player Yellow,(24.75,-1.2, 45.70),4,ENGAGE_IN_COMBAT,3,1,0,0.5094649,
Player Red,(17.40,-1.18, 11.55),4,ENGAGE_IN_COMBAT,6,2,1,2.216695,
Player Blue,(8.31,-1.22, 22.81),5,I_HIT_SOMEONE,6,3,0,2.792863,
Player Green,(8.01,-1.23, -17.80),0,NOT_IN_COMBAT,6,0,4,7.899806,
Player Yellow,(7.26,-1.23, 27.52),3,I_GOT_HIT,4,1,1,0.5094649,
Player Red,(34.59,-1.19, 45.96),4,ENGAGE_IN_COMBAT,8,2,1,2.216695,
Player Blue,(43.66,-1.18, 38.52),5,ENGAGE_IN_COMBAT,7,3,0,2.792863,
Player Green,(-9.97,-1.23, -21.90),0,ENGAGE_IN_COMBAT,7,0,4,8.179535,
Player Yellow,(-4.61,-1.22, -14.49),3,I_GOT_HIT,6,2,2,0.5094649,
Player Red,(47.64,-1.19, 27.71),4,ENGAGE_IN_COMBAT,8,2,1,2.216695,
Player Blue,(45.76,-1.18, 16.47),5,ENGAGE_IN_COMBAT,7,3,0,2.792863,
Player Green,(-9.99,-1.23, -21.93),1,I_HIT_SOMEONE,7,1,4,8.179535,
Player Yellow,(-11.06,-1.2, -18.81),2,I_GOT_HIT,6,2,3,0.5094649,
Player Red,(47.43,-1.19, 21.98),4,ENGAGE_IN_COMBAT,8,2,1,2.216695,
Player Blue,(42.75,-1.18, 11.64),5,ENGAGE_IN_COMBAT,7,3,0,2.792863,
Player Green,(-10.06,-1.2, -22.14),0,I_GOT_HIT,7,1,5,8.179535,
Player Yellow,(-10.62,-1.2, -18.86),3,I_HIT_SOMEONE,6,3,3,0.5094649,
Player Red,(4.82,-1.21, -35.60),4,I_GOT_HIT,9,3,2,2.216695,
Player Blue,(-35.61,-1.23, 17.96),5,NOT_IN_COMBAT,8,3,0,2.792863,
Player Green,(-18.98,-1.23, 8.75),0,NOT_IN_COMBAT,8,1,5,8.396043,
Player Yellow,(45.17,-1.19, -18.60),3,ENGAGE_IN_COMBAT,7,3,3,0.5094649,
Player Red,(-23.97,-1.19, 47.23),4,ENGAGE_IN_COMBAT,11,3,2,2.216695,
Player Blue,(-3.44,-1.23, 30.81),5,I_GOT_HIT,9,4,1,3.069445,
Player Green,(-35.30,-1.23, -17.65),0,ENGAGE_IN_COMBAT,10,1,5,8.396043,
Player Yellow,(-38.03,-1.21, 14.22),3,NOT_IN_COMBAT,9,3,3,0.5094649,
Player Red,(-18.31,-1.19, 46.37),4,I_GOT_HIT,11,4,3,2.216695,
Player Blue,(0.93,-1.23, 18.33),5,ENGAGE_IN_COMBAT,9,4,1,3.069445,
Player Green,(-42.33,-1.22, -30.91),0,ENGAGE_IN_COMBAT,10,1,5,8.396043,
Player Yellow,(-38.01,-1.22, 21.74),3,NOT_IN_COMBAT,9,3,3,0.5094649,
Player Red,(11.50,-1.19, 5.89),4,ENGAGE_IN_COMBAT,11,4,3,2.216695,
Player Blue,(-9.49,-1.23, -39.54),5,I_HIT_SOMEONE,10,5,1,3.069445,
Player Green,(-12.68,-1.21, -43.57),0,I_GOT_HIT,11,1,6,8.396043,
Player Yellow,(-14.86,-1.23, 33.79),3,ENGAGE_IN_COMBAT,9,3,3,0.5094649,
Player Red,(-34.54,-1.21, 15.92),4,ENGAGE_IN_COMBAT,13,4,3,2.216695,
Player Blue,(17.08,-1.22, 11.02),5,ENGAGE_IN_COMBAT,11,5,1,3.069445,
Player Green,(38.60,-1.21, 12.76),0,I_GOT_HIT,13,1,7,8.396043,
Player Yellow,(34.86,-1.23, 9.03),3,I_HIT_SOMEONE,10,4,3,0.5094649,
Player Red,(-9.96,-1.2, -23.86),4,ENGAGE_IN_COMBAT,15,4,3,2.216695,
Player Blue,(-12.25,-1.22, 8.95),5,ENGAGE_IN_COMBAT,14,5,1,3.069445,
Player Green,(-7.13,-1.23, -15.54),1,I_HIT_SOMEONE,17,2,7,8.396043,
Player Yellow,(-3.05,-1.23, -18.04),2,I_GOT_HIT,13,4,4,0.5270229,
Player Red,(-12.47,-1.19, -16.07),3,I_GOT_HIT,16,4,4,2.216695,
Player Blue,(-10.42,-1.22, -10.78),6,I_HIT_SOMEONE,15,6,1,3.069445,
Player Green,(8.86,-1.22, -14.98),1,NOT_IN_COMBAT,17,2,7,8.396043,
Player Yellow,(-13.84,-1.2, -33.20),2,ENGAGE_IN_COMBAT,13,4,4,0.5270229,
Player Red,(-36.36,-1.22, -24.28),3,ENGAGE_IN_COMBAT,17,4,4,2.216695,
Player Blue,(-43.59,-1.18, 38.75),6,ENGAGE_IN_COMBAT,18,6,1,3.069445,
Player Green,(12.34,-1.22, -15.29),1,NOT_IN_COMBAT,17,2,7,8.998166,
Player Yellow,(-32.12,-1.2, -11.10),2,I_GOT_HIT,15,5,5,0.550892,
Player Red,(10.57,-1.19, -21.71),3,ENGAGE_IN_COMBAT,18,4,4,2.216695,
Player Blue,(-14.66,-1.23, -13.27),6,I_GOT_HIT,18,7,2,3.069445,
Player Green,(13.51,-1.23, -12.07),1,ENGAGE_IN_COMBAT,18,2,7,9.799193,
Player Yellow,(-12.73,-1.21, -42.61),2,ENGAGE_IN_COMBAT,15,5,5,0.550892,
Player Red,(12.35,-1.2, -14.74),4,I_HIT_SOMEONE,18,5,4,2.216695,
Player Blue,(-9.09,-1.2, -17.34),6,ENGAGE_IN_COMBAT,18,7,2,3.069445,
Player Green,(10.82,-1.23, -10.26),0,I_GOT_HIT,18,2,8,9.799193,
Player Yellow,(-8.25,-1.22, -37.83),2,ENGAGE_IN_COMBAT,15,5,5,0.550892,
Player Red,(13.48,-1.19, 12.84),4,I_GOT_HIT,18,6,5,2.216695,
Player Blue,(10.94,-1.19, -26.94),6,NOT_IN_COMBAT,19,7,2,3.069445,
Player Green,(-8.47,-1.23, -6.88),0,NOT_IN_COMBAT,19,2,8,9.799193,
Player Yellow,(4.92,-1.22, -10.35),2,ENGAGE_IN_COMBAT,17,5,5,0.550892,
Player Red,(1.77,-1.22, 8.79),4,ENGAGE_IN_COMBAT,19,6,5,2.216695,
Player Blue,(-47.84,-1.18, 27.30),6,ENGAGE_IN_COMBAT,20,7,2,3.069445,
Player Green,(39.45,-1.19, 8.23),0,ENGAGE_IN_COMBAT,19,2,8,10.50179,
Player Yellow,(1.68,-1.22, 3.49),2,I_GOT_HIT,19,6,6,0.550892,
Player Red,(-15.79,-1.23, 45.10),5,I_HIT_SOMEONE,20,7,5,2.216695,
Player Blue,(-20.59,-1.18, 47.19),5,I_GOT_HIT,21,7,3,3.069445,
Player Green,(5.66,-1.2, -11.09),0,ENGAGE_IN_COMBAT,20,2,8,10.50179,
Player Yellow,(37.67,-1.21, -10.06),2,ENGAGE_IN_COMBAT,20,6,6,0.550892,
Player Red,(-17.26,-1.19, 45.05),4,I_GOT_HIT,20,7,6,2.216695,
Player Blue,(-19.72,-1.23, 46.56),6,I_HIT_SOMEONE,21,8,3,3.069445,
Player Green,(-9.87,-1.23, -6.20),0,ENGAGE_IN_COMBAT,20,2,8,10.50179,
Player Yellow,(41.85,-1.19, -24.53),2,ENGAGE_IN_COMBAT,20,6,6,0.550892,
Player Red,(-25.19,-1.18, -7.07),5,I_HIT_SOMEONE,21,8,6,2.216695,
Player Blue,(-21.22,-1.19, -10.59),5,I_GOT_HIT,24,8,4,3.069445,
Player Green,(-10.28,-1.23, -9.31),0,ENGAGE_IN_COMBAT,22,2,8,10.51844,
Player Yellow,(-7.79,-1.21, -5.87),2,ENGAGE_IN_COMBAT,22,6,6,0.550892,
Player Red,(47.59,-1.19, -21.74),5,ENGAGE_IN_COMBAT,23,8,6,2.216695,
Player Blue,(-7.25,-1.22, 38.49),4,I_GOT_HIT,26,8,5,3.069445,
Player Green,(-9.29,-1.22, -27.36),0,NOT_IN_COMBAT,23,2,8,10.95521,
Player Yellow,(-9.67,-1.2, 40.59),3,I_HIT_SOMEONE,24,7,6,0.550892,
Player Red,(-11.64,-1.23, 33.64),5,I_GOT_HIT,25,9,7,2.216695,
Player Blue,(17.27,-1.22, 7.58),4,ENGAGE_IN_COMBAT,27,8,5,3.069445,
Player Green,(-0.25,-1.22, -12.83),0,ENGAGE_IN_COMBAT,24,2,8,11.17464,
Player Yellow,(-1.65,-1.23, -4.47),3,ENGAGE_IN_COMBAT,26,7,6,0.550892,
Player Red,(-42.48,-1.23, 11.53),5,ENGAGE_IN_COMBAT,25,9,7,2.216695,
Player Blue,(29.51,-1.22, -39.40),4,I_GOT_HIT,27,9,6,3.069445,
Player Green,(-32.86,-1.21, -11.72),0,ENGAGE_IN_COMBAT,24,2,8,11.17464,
Player Yellow,(23.22,-1.2, -43.20),3,ENGAGE_IN_COMBAT,26,7,6,0.550892,
Player Red,(29.71,-1.2, -47.03),5,I_HIT_SOMEONE,29,10,7,2.216695,
Player Blue,(11.86,-1.23, -4.78),4,ENGAGE_IN_COMBAT,29,9,6,3.388363,
Player Green,(26.13,-1.21, -47.64),0,I_GOT_HIT,25,2,9,11.71896,
Player Yellow,(47.68,-1.22, -26.31),3,NOT_IN_COMBAT,29,7,6,0.550892,
Player Red,(29.58,-1.19, -47.30),4,I_GOT_HIT,29,10,8,2.216695,
Player Blue,(10.04,-1.23, 7.73),4,ENGAGE_IN_COMBAT,29,9,6,3.388363,
Player Green,(26.28,-1.21, -47.69),1,I_HIT_SOMEONE,25,3,9,11.71896,
Player Yellow,(44.63,-1.23, -36.26),3,ENGAGE_IN_COMBAT,29,7,6,0.550892,
Player Red,(41.22,-1.18, 10.05),5,I_HIT_SOMEONE,34,11,8,2.216695,
Player Blue,(10.83,-1.23, 7.34),4,ENGAGE_IN_COMBAT,31,9,6,6.810902,
Player Green,(-8.90,-1.23, -9.66),1,ENGAGE_IN_COMBAT,28,3,9,12.37625,
Player Yellow,(35.92,-1.21, 8.75),2,I_GOT_HIT,35,7,7,0.550892,
